id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT
374.0,39.0,Wolves,42.0,Arsenal,3-0,3-1
370.0,33.0,Manchester United,50.0,Manchester City,0-0,0-2
420.0,40.0,Liverpool,37.0,Huddersfield,3-0,5-0
423.0,47.0,Tottenham,48.0,West Ham,0-0,0-1
417.0,52.0,Crystal Palace,45.0,Everton,0-0,0-0
418.0,36.0,Fulham,43.0,Cardiff,0-0,1-0
422.0,41.0,Southampton,35.0,Bournemouth,1-2,3-3
424.0,38.0,Watford,39.0,Wolves,0-1,1-2
415.0,51.0,Brighton,34.0,Newcastle,0-1,1-1
419.0,46.0,Leicester,42.0,Arsenal,0-0,3-0
416.0,44.0,Burnley,50.0,Manchester City,0-0,0-1
421.0,33.0,Manchester United,49.0,Chelsea,1-1,1-1
429.0,45.0,Everton,44.0,Burnley,2-0,2-0
426.0,35.0,Bournemouth,47.0,Tottenham,0-0,1-0
433.0,48.0,West Ham,41.0,Southampton,1-0,3-0
434.0,39.0,Wolves,36.0,Fulham,0-0,1-0
427.0,43.0,Cardiff,52.0,Crystal Palace,1-2,2-3
432.0,34.0,Newcastle,40.0,Liverpool,1-2,2-3
428.0,49.0,Chelsea,38.0,Watford,0-0,3-0
430.0,37.0,Huddersfield,33.0,Manchester United,0-1,1-1
425.0,42.0,Arsenal,51.0,Brighton,1-0,1-1
431.0,50.0,Manchester City,46.0,Leicester,0-0,1-0
435.0,51.0,Brighton,50.0,Manchester City,1-2,1-4
436.0,44.0,Burnley,42.0,Arsenal,0-0,1-3
437.0,52.0,Crystal Palace,35.0,Bournemouth,3-1,5-3
438.0,36.0,Fulham,34.0,Newcastle,0-2,0-4
439.0,46.0,Leicester,49.0,Chelsea,0-0,0-0
440.0,40.0,Liverpool,39.0,Wolves,1-0,2-0
441.0,33.0,Manchester United,43.0,Cardiff,0-1,0-2
442.0,41.0,Southampton,37.0,Huddersfield,1-0,1-1
443.0,47.0,Tottenham,45.0,Everton,1-0,2-2
444.0,38.0,Watford,48.0,West Ham,0-2,1-4
