id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
345.0,35.0,Bournemouth,50.0,Manchester City,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
346.0,51.0,Brighton,37.0,Huddersfield,0-0,1-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
347.0,44.0,Burnley,52.0,Crystal Palace,0-1,1-3,-2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2018
350.0,33.0,Manchester United,41.0,Southampton,0-1,3-2,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2018
354.0,39.0,Wolves,43.0,Cardiff,2-0,2-0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
353.0,48.0,West Ham,34.0,Newcastle,2-0,2-0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
352.0,38.0,Watford,46.0,Leicester,1-0,2-1,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018
349.0,36.0,Fulham,49.0,Chelsea,1-2,1-2,-1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
348.0,45.0,Everton,40.0,Liverpool,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
358.0,52.0,Crystal Palace,51.0,Brighton,0-1,1-2,-1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
356.0,43.0,Cardiff,48.0,West Ham,1-0,2-0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
359.0,37.0,Huddersfield,35.0,Bournemouth,0-1,0-2,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
360.0,46.0,Leicester,36.0,Fulham,1-0,3-1,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2018
363.0,34.0,Newcastle,45.0,Everton,0-2,3-2,-1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2018
364.0,41.0,Southampton,47.0,Tottenham,0-1,2-1,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018
362.0,50.0,Manchester City,38.0,Watford,0-0,3-1,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2018
361.0,40.0,Liverpool,44.0,Burnley,2-1,4-2,2.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2018
357.0,49.0,Chelsea,39.0,Wolves,0-0,1-1,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2018
355.0,42.0,Arsenal,33.0,Manchester United,1-0,2-0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
365.0,35.0,Bournemouth,34.0,Newcastle,0-1,2-2,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2018
367.0,44.0,Burnley,46.0,Leicester,1-1,1-2,0.0,-1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
373.0,48.0,West Ham,37.0,Huddersfield,1-2,4-3,-1.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2018
369.0,36.0,Fulham,40.0,Liverpool,0-1,1-2,0.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2018
368.0,45.0,Everton,49.0,Chelsea,0-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
380.0,36.0,Fulham,50.0,Manchester City,0-2,0-2,-2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
376.0,51.0,Brighton,41.0,Southampton,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
377.0,44.0,Burnley,39.0,Wolves,1-0,2-0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
379.0,52.0,Crystal Palace,37.0,Huddersfield,0-0,2-0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2018
381.0,46.0,Leicester,35.0,Bournemouth,1-0,2-0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
383.0,33.0,Manchester United,38.0,Watford,1-0,2-1,2.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
384.0,48.0,West Ham,45.0,Everton,0-2,0-2,-2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
378.0,43.0,Cardiff,49.0,Chelsea,0-0,1-2,1.0,-2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2018
382.0,40.0,Liverpool,47.0,Tottenham,1-0,2-1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
375.0,42.0,Arsenal,34.0,Newcastle,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
393.0,38.0,Watford,36.0,Fulham,1-1,4-1,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2018
394.0,39.0,Wolves,33.0,Manchester United,1-1,2-1,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
