index,id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HW,D,AW,>2.5,<2.5,match_dif,comeback,dif_class,prob_HW,prob_D,prob_AW,prob_25more,prob_25less,id_country,country
681,157323.0,47.0,Tottenham,48.0,West Ham,0-0,2-0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2019,Tottenham,West Ham,2,0,H,0,0,1.66,4.0,5.0,1.8,2.0,2.0,0.0,1.0,0.5724098454493417,0.2375500858614768,0.1900400686891814,0.5263157894736842,0.4736842105263157,0,en
682,157319.0,33.0,Manchester United,62.0,Sheffield Utd,2-0,3-0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Manchester United,Sheffield Utd,3,0,H,2,0,1.4,4.5,8.5,2.0,1.8,3.0,0.0,2.0,0.6775907883082374,0.2108060230292293,0.1116031886625332,0.4736842105263157,0.5263157894736842,0,en
683,157320.0,34.0,Newcastle,66.0,Aston Villa,0-0,1-1,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2019,Newcastle,Aston Villa,1,1,D,0,0,2.3,3.3,3.2,2.1,1.72,0.0,1.0,1.0,0.4139553116424931,0.2885143081144649,0.2975303802430419,0.450261780104712,0.549738219895288,0,en
684,157321.0,71.0,Norwich,45.0,Everton,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,Norwich,Everton,0,1,A,0,0,3.9,3.6,1.9,1.8,2.0,-1.0,0.0,-1.0,0.2417815482502651,0.2619300106044538,0.4962884411452809,0.5263157894736842,0.4736842105263157,0,en
685,157324.0,39.0,Wolves,35.0,Bournemouth,0-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Wolves,Bournemouth,1,0,H,0,0,1.55,4.0,6.0,2.1,1.72,1.0,0.0,1.0,0.6075949367088608,0.2354430379746835,0.1569620253164557,0.450261780104712,0.549738219895288,0,en
686,157318.0,40.0,Liverpool,52.0,Crystal Palace,2-0,4-0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2019,Liverpool,Crystal Palace,4,0,H,2,0,1.22,6.5,13.0,1.66,2.2,4.0,0.0,2.0,0.78031212484994,0.1464585834333733,0.0732292917166866,0.5699481865284974,0.4300518134715025,0,en
687,157315.0,44.0,Burnley,38.0,Watford,0-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Burnley,Watford,1,0,H,0,0,3.0,3.25,2.45,2.2,1.66,1.0,0.0,1.0,0.3177057356608478,0.2932668329177058,0.3890274314214463,0.4300518134715025,0.5699481865284974,0,en
688,157322.0,41.0,Southampton,42.0,Arsenal,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2019,Southampton,Arsenal,0,2,A,0,1,2.6,3.5,2.62,1.8,2.0,-2.0,0.0,-1.0,0.3656008292799617,0.2715891874651144,0.3628099832549238,0.5263157894736842,0.4736842105263157,0,en
689,157316.0,49.0,Chelsea,50.0,Manchester City,1-0,2-1,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2019,Chelsea,Manchester City,2,1,H,1,0,4.0,4.0,1.8,1.61,2.3,1.0,1.0,0.0,0.2368421052631578,0.2368421052631578,0.5263157894736842,0.588235294117647,0.411764705882353,0,en
690,157327.0,66.0,Aston Villa,39.0,Wolves,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Aston Villa,Wolves,0,1,A,0,0,4.6,3.7,1.75,2.1,1.72,-1.0,0.0,-1.0,0.2052623236646061,0.2551909969884292,0.5395466793469647,0.450261780104712,0.549738219895288,0,en
691,157333.0,38.0,Watford,41.0,Southampton,0-1,1-3,-2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2019,Watford,Southampton,1,3,A,0,1,2.5,3.3,2.87,2.0,1.8,-2.0,0.0,-2.0,0.3804225578406169,0.2881989074550128,0.3313785347043701,0.4736842105263157,0.5263157894736842,0,en
692,157329.0,52.0,Crystal Palace,44.0,Burnley,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Crystal Palace,Burnley,0,1,A,0,0,2.25,3.2,3.4,2.5,1.53,-1.0,0.0,-1.0,0.4228527011270889,0.2973183054799844,0.2798289933929265,0.3796526054590571,0.6203473945409429,0,en
693,157328.0,51.0,Brighton,33.0,Manchester United,0-2,0-3,-3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,Brighton,Manchester United,0,3,A,0,2,6.0,3.8,1.61,2.1,1.72,-3.0,0.0,-2.0,0.1585877961532479,0.2504017833998652,0.5910104204468868,0.450261780104712,0.549738219895288,0,en
694,157325.0,35.0,Bournemouth,34.0,Newcastle,0-2,1-4,-3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2019,Bournemouth,Newcastle,1,4,A,0,2,2.4,3.1,3.2,2.37,1.57,-3.0,0.0,-2.0,0.3961661341853035,0.3067092651757188,0.2971246006389776,0.398477157360406,0.6015228426395939,0,en
695,157326.0,42.0,Arsenal,71.0,Norwich,2-0,4-0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2019,Arsenal,Norwich,4,0,H,2,0,1.44,4.75,7.0,1.72,2.1,4.0,0.0,2.0,0.6627466613514053,0.2009168825991628,0.1363364560494319,0.549738219895288,0.450261780104712,0,en
696,157330.0,45.0,Everton,46.0,Leicester,2-0,2-1,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,Everton,Leicester,2,1,H,2,0,2.5,3.3,2.9,2.1,1.72,1.0,0.0,1.0,0.3817311527722377,0.2891902672516952,0.329078579976067,0.450261780104712,0.549738219895288,0,en
697,157334.0,48.0,West Ham,49.0,Chelsea,1-1,3-2,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2019,West Ham,Chelsea,3,2,H,1,1,5.5,4.33,1.57,1.72,2.1,1.0,1.0,0.0,0.1732083846097008,0.2200106501970796,0.6067809651932196,0.549738219895288,0.450261780104712,0,en
